Localidade da Escola;País;Região;UF;Município;Matrículas;Categoria 1;Categoria 1 - Ordenação;Categoria 2;Categoria 2 - Ordenação;Etapa de Ensino - Superior;Etapa de Ensino
Nordeste;Brasil;Nordeste;;;2246;Amarela;4;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;22;Amarela;4;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;2785;Amarela;4;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;102;Amarela;4;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;45247;Branca;1;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;453;Branca;1;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;58178;Branca;1;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;2884;Branca;1;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;4605;Indígena;5;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;28;Indígena;5;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;3424;Indígena;5;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;38;Indígena;5;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;165015;Não declarada;10;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;1416;Não declarada;10;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;268048;Não declarada;10;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;11916;Não declarada;10;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;285679;Parda;3;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;1860;Parda;3;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;392131;Parda;3;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;13386;Parda;3;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;39484;Preta;2;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;321;Preta;2;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;37807;Preta;2;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;1149;Preta;2;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
