Localidade da Escola;País;Região;UF;Município;Matrículas;Categoria 1;Categoria 1 - Ordenação;Categoria 2;Categoria 2 - Ordenação;Etapa de Ensino - Superior;Etapa de Ensino
Brasil;Brasil;;;;6685;Amarela;4;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;88;Amarela;4;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;4289;Amarela;4;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;678;Amarela;4;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;326986;Branca;1;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;2465;Branca;1;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;175776;Branca;1;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;59783;Branca;1;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;12585;Indígena;5;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;107;Indígena;5;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;11405;Indígena;5;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;343;Indígena;5;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;776347;Não declarada;10;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;4523;Não declarada;10;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;514344;Não declarada;10;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;92714;Não declarada;10;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;690113;Parda;3;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;3866;Parda;3;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;565126;Parda;3;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;48087;Parda;3;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;104504;Preta;2;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;764;Preta;2;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;73466;Preta;2;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Brasil;Brasil;;;;7130;Preta;2;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
