Localidade da Escola;País;Região;UF;Município;Matrículas;Categoria 1;Categoria 1 - Ordenação;Etapa de Ensino - Superior;Etapa de Ensino
BA;Brasil;Nordeste;BA;;89216;15 a 17 anos;6002;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;69947;18 a 19 anos;6003;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;73380;20 a 24 anos;6004;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;41631;25 a 29 anos;6005;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;37582;30 a 34 anos;6006;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;31154;35 a 39 anos;6007;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;79344;40 anos ou mais;6008;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;11411;Até 14 anos;6001;Educação Básica;Educação de Jovens e Adultos - EJA
