Localidade da Escola;País;Região;UF;Município;Matrículas;Categoria 1;Categoria 1 - Ordenação;Etapa de Ensino - Superior;Etapa de Ensino
BA;Brasil;Nordeste;BA;;1722;Amarela;4;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;19071;Branca;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;1728;Indígena;5;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;171628;Não declarada;10;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;187264;Parda;3;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;52252;Preta;2;Educação Básica;Educação de Jovens e Adultos - EJA
