Localidade da Escola;País;Região;UF;Município;Matrículas;Categoria 1;Categoria 1 - Ordenação;Categoria 2;Categoria 2 - Ordenação;Etapa de Ensino - Superior;Etapa de Ensino
Nordeste;Brasil;Nordeste;;;215781;Feminino;2;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;1718;Feminino;2;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;450039;Feminino;2;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;13691;Feminino;2;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;210154;Masculino;1;Estadual;2;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;963;Masculino;1;Federal;1;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;393274;Masculino;1;Municipal;3;Educação Básica;Educação de Jovens e Adultos - EJA
Nordeste;Brasil;Nordeste;;;11481;Masculino;1;Privada;4;Educação Básica;Educação de Jovens e Adultos - EJA
